Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;TCR pré;TCR pós;TRFC pré;TRFC pós;Total não Individualizado;Total Exterior
ITAU;10069;b1;C;2;S1;199;SAO PAULO;SP;mar/21;824.151.924;322.250.581;60.087.400;2.090.205;1.531.400;205.799;16.800.754;54.309.044;4.291.301;30.241;89.160;150.288;0;0;8.119.977;0;0;0;0;118.525;354.077.248
CAIXA ECONOMICA FEDERAL;360305;b1;I;1;S1;6;BRASILIA;DF;mar/21;791.841.593;139.501.696;548.272.956;23.273.484;0;0;22;34.783.448;15.417.271;0;290.712;19.991.430;0;118;10.290.387;0;0;0;0;20.070;0
BB;49906;b1;C;1;S1;199;BRASILIA;DF;mar/21;686.937.830;431.233.082;58.295.880;8.799.891;7.450.795;8.414;603;88.474.155;7.129.885;49.023.386;2.089.136;115.636;0;0;3.420.034;0;0;0;0;23.200;30.873.733
BRADESCO;10045;b1;C;2;S1;199;OSASCO;SP;mar/21;575.848.461;304.123.581;70.653.566;3.494.021;5.889.172;14.902;16.420.814;61.335.349;6.886.902;0;453.910;97.061;0;456.822;0;13.212.098;0;0;0;65.758;92.744.505
SANTANDER;30379;b1;C;3;S1;199;SAO PAULO;SP;mar/21;423.718.494;277.611.421;54.414.083;1.240.690;1.147.003;64;33.706;28.339.942;2.392.704;0;604.611;42.124;0;2.937;1.814.946;0;0;0;0;53.488;56.020.773
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;mar/21;274.622.038;42.200.607;85.788;152.826.479;56.596.282;1.671.448;4.723.011;5.079.308;5.412.470;0;5.347;6.021.298;0;0;0;0;0;0;0;0;0
SAFRA;10083;b1;C;2;S2;199;SAO PAULO;SP;mar/21;92.291.489;54.456.896;117.745;331.070;773.996;0;157;27.300.047;427.785;0;4.530;0;0;10;0;0;0;0;0;2.215;8.877.039
VOTORANTIM;51011;b1;C;2;S2;199;SAO PAULO;SP;mar/21;61.042.049;51.979.687;790.644;49.981;243.840;17.708;1.507.722;5.282.113;1.505;0;0;73.829;0;0;10.689;0;0;0;0;2.447;1.081.884
BTG PACTUAL;49944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;mar/21;53.501.654;14.680.350;0;2.629.063;0;0;0;16.417.012;953.645;0;15.764;5.527;0;0;523.086;0;0;0;0;0;18.277.207
BANRISUL;30173;b1;C;1;S2;199;PORTO ALEGRE;RS;mar/21;36.742.735;26.946.155;5.115.669;111.916;15.027;0;6.321;3.771.032;614.286;0;30.004;0;0;0;40.770;0;0;0;0;2.022;89.533
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;mar/21;33.301.103;26.757.574;579;0;86.018;0;99.977;4.065.006;307.533;220.242;3.044;0;0;0;1.060.673;0;0;0;0;3.551;696.908
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;mar/21;30.159.237;29.663.906;98.280;0;0;0;0;97.267;0;0;211.877;31.106;0;0;41.450;0;0;0;0;15.352;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;mar/21;28.497.639;25.352.633;63.506;96.183;61.752;0;0;2.923.565;0;0;0;0;0;0;0;0;0;0;0;0;0
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;mar/21;25.336.404;19.017.963;0;15;0;0;0;6.318.420;5;0;0;0;0;0;0;0;0;0;0;1;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;mar/21;21.229.182;5.471.090;0;44.054;163.920;0;0;12.190.578;170.153;0;66.721;383.103;0;1.694;852.286;0;0;0;0;2;1.885.581
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;mar/21;19.626.230;16.801.854;0;256.426;746.068;0;0;1.610.600;105.083;0;0;0;0;0;106.165;0;0;0;0;33;0
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;mar/21;16.425.932;12.955.531;74;32.567;0;0;2.913.617;357.957;0;0;23.135;142.953;0;0;0;0;0;0;0;99;0
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;mar/21;15.224.272;9.705.338;0;0;0;0;3.732.581;1.769.049;0;0;0;0;0;0;0;0;0;0;0;17.305;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;mar/21;15.110.728;12.304.326;226.062;117.993;1.251.176;0;500.181;669.320;17;0;0;0;0;0;0;0;41.585;0;0;66;0
NU PAGAMENTOS S.A.;18236120;n4;I;2;S4;41;SAO PAULO;SP;mar/21;13.899.909;13.353.482;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;546.427;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;mar/21;13.547.871;7.242.763;57.475;2.229.523;863.007;0;0;29.349;1.804.478;0;199.779;26.328;0;214.742;877.521;0;2.901;0;0;6;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;mar/21;13.537.627;9.048.196;18.073;233.299;944.610;0;1.288.316;545.267;205.050;0;1.227.093;0;0;27.295;0;0;0;0;0;429;0
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;mar/21;13.101.628;11.418.975;0;50.048;0;0;0;1.247.087;0;0;0;384.888;0;0;0;0;0;0;0;631;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;mar/21;13.013.026;11.065.078;214.263;397.865;612.222;0;0;40.105;683.493;0;0;0;0;0;0;0;0;0;0;0;0
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;mar/21;12.240.097;88.689;0;0;0;864.130;0;9.777.313;0;0;0;1.230.719;0;0;0;0;0;0;0;0;279.246
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;mar/21;12.096.809;10.664.650;0;0;0;0;12.183;214.751;0;0;0;0;0;0;78.069;0;0;0;0;4.070;1.123.086
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;mar/21;11.832.645;8.037.642;0;103.748;108.757;0;0;3.324.508;257.935;0;0;0;0;0;0;0;0;0;0;56;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;mar/21;11.637.190;11.361.404;0;88.565;0;0;0;0;187.221;0;0;0;0;0;0;0;0;0;0;0;0
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;mar/21;11.065.139;11.058.141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.999;0
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;mar/21;10.756.388;5.148.736;4.481;0;0;0;0;1.181.549;0;0;1.066;0;0;0;2.043.678;0;0;0;0;958;2.375.919
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;mar/21;10.656.983;2.353.222;6.769;0;0;0;0;4.197.888;0;1.617.690;0;0;0;0;0;0;0;0;0;694;2.480.720
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;mar/21;10.319.194;10.318.011;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;1.183;0
INTER;51884;b1;C;2;S3;199;BELO HORIZONTE;MG;mar/21;10.117.383;6.172.190;1.361.793;0;0;0;2.566.397;11.474;0;0;0;0;0;0;0;0;0;0;0;5.530;0
BANCO JOHN DEERE S.A.;91884981;b1;I;3;S3;8;INDAIATUBA;SP;mar/21;9.008.830;7.876.200;0;11.609;40.240;930.771;0;0;150.010;0;0;0;0;0;0;0;0;0;0;0;0
BOCOM;52003;b1;C;3;S3;199;SALVADOR;BA;mar/21;8.733.296;649.898;0;0;0;0;0;4.796.346;0;0;0;5.822;0;24.402;345.066;0;0;0;0;0;2.911.763
BANCO GM S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;mar/21;8.063.611;8.063.611;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;mar/21;7.383.501;7.043.279;0;12.606;101.478;0;0;225.342;795;0;0;0;0;0;0;0;0;0;0;0;0
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;mar/21;6.872.168;6.084.023;81.889;0;0;0;66.494;634.041;4.457;0;0;0;0;0;0;0;0;0;0;1.263;0
C6 BANK;52072;b1;C;2;S4;199;SAO PAULO;SP;mar/21;6.864.267;6.541.719;0;0;0;0;0;295.838;0;0;0;0;0;0;0;0;0;0;0;26.711;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;S3;8;BELEM;PA;mar/21;6.727.543;6.624.188;88.926;0;6.316;0;468;0;0;0;0;7.602;0;0;0;0;0;0;0;43;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;mar/21;6.166.432;5.411.194;0;198.948;0;0;0;0;552.643;0;3.646;0;0;0;0;0;0;0;0;0;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S3;8;SAO PAULO;SP;mar/21;6.158.644;6.158.644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;mar/21;6.028.873;1.300.084;105.570;882.204;0;0;168;0;2.435.001;10.069;269.218;55.609;0;9.431;961.518;0;0;0;0;1;0
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;mar/21;5.794.276;3.708.538;361.499;59.887;0;0;385.034;673.807;551.781;290;5.154;0;0;0;48.271;0;0;0;0;15;0
PARANÁ BANCO;30881;b1;C;2;S4;199;CURITIBA;PR;mar/21;5.518.179;5.492.372;0;0;0;0;1.398;8.640;0;0;14.905;0;0;0;0;0;0;0;0;864;0
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;mar/21;5.444.246;1.866.141;0;0;0;0;0;3.294.731;0;0;0;23.749;0;0;90.286;0;0;0;0;22;169.317
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;mar/21;5.413.775;3.029.173;616.256;10.929;2.820;0;1.697;1.548.490;152.852;0;1.458;0;0;0;3.995;45.983;0;0;0;122;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S4;9;BLUMENAU;SC;mar/21;5.304.362;3.587.381;196.580;1.169;2.477;0;0;1.516.405;0;0;0;0;0;0;0;0;0;0;0;350;0
XP;52120;b1;C;2;S3;199;RIO DE JANEIRO;RJ;mar/21;5.047.396;553.291;0;0;0;0;0;4.494.092;0;0;0;0;0;0;0;0;0;0;0;12;0
SCANIA BANCO S.A.;11417016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;mar/21;5.028.399;5.028.399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;mar/21;4.308.746;1.498.627;123.606;8.510;0;0;26.630;2.018.561;0;0;14.407;83.029;0;0;482.176;0;0;0;0;1;53.198
CREDIT AGRICOLE;51066;b1;C;3;S3;199;SAO PAULO;SP;mar/21;4.216.248;201.121;0;0;0;0;0;797.309;0;0;0;0;0;0;3.217.818;0;0;0;0;0;0
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;mar/21;4.176.585;4.176.582;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;I;2;S4;9;BEBEDOURO;SP;mar/21;4.169.175;2.626.161;4.769;1.371;0;0;0;1.439.179;97.684;0;0;0;0;0;0;0;0;0;0;11;0
INDUSTRIAL DO BRASIL;50988;b1;C;2;S4;199;SAO PAULO;SP;mar/21;4.094.552;2.328.410;0;0;0;0;43.506;20.451;1.176.332;0;2.218;0;0;0;445.499;0;0;0;0;58;78.078
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;mar/21;4.086.694;2.877.999;0;0;0;0;155.275;990.357;0;0;0;0;0;0;54.073;0;0;0;0;1;8.989
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;mar/21;4.004.557;2.176.481;0;0;0;0;0;1.828.076;0;0;0;0;0;0;0;0;0;0;0;0;0
HONDA;51396;b2;C;3;S4;198;SAO PAULO;SP;mar/21;3.854.700;3.854.687;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0
OMNI;50940;b1;C;2;S4;199;SAO PAULO;SP;mar/21;3.849.181;3.844.378;0;0;0;0;0;2.322;0;0;0;0;0;0;0;0;0;0;0;2.481;0
MÁXIMA;50201;b1;C;2;S4;199;RIO DE JANEIRO;RJ;mar/21;3.718.623;3.198.866;0;0;0;0;12.503;437.162;0;0;69.813;0;0;0;0;0;0;0;0;279;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;S4;14;SAO PAULO;SP;mar/21;3.707.598;3.671.145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36.452;0
ING;51073;b1;C;3;S3;199;SAO PAULO;SP;mar/21;3.577.157;245.132;0;0;0;0;0;260.050;0;3.071.976;0;0;0;0;0;0;0;0;0;0;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;I;2;S4;9;SERTAOZINHO;SP;mar/21;3.540.771;1.422.985;599;0;0;0;1.956;2.050.486;42.983;0;0;0;0;0;21.759;0;0;0;0;3;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;mar/21;3.354.948;2.154.273;198.046;72;45;0;370.448;550.762;81.288;0;0;0;0;0;0;0;0;0;0;14;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;I;2;S4;9;MEDIANEIRA;PR;mar/21;3.287.446;1.681.876;405.767;0;7;0;0;1.133.041;66.732;0;0;0;0;0;0;0;0;0;0;23;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;S4;9;MARINGA;PR;mar/21;3.149.147;2.315.252;507.494;0;6;0;0;244.845;80.487;0;0;0;0;1.021;0;0;0;0;0;41;0
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27351731;n1;I;3;S4;14;PORTO ALEGRE;RS;mar/21;3.046.403;2.998.038;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.366;0
BANCO MUFG BRASIL S.A.;60498557;b1;I;3;S3;8;SAO PAULO;SP;mar/21;3.014.970;1.373.383;0;416;17.214;0;0;580.742;0;0;0;0;0;0;1.043.215;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;I;2;S4;9;PALOTINA;PR;mar/21;3.004.819;2.173.944;50.670;0;0;0;0;721.319;58.712;0;0;0;0;158;0;0;0;0;0;16;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;S5;9;CHAPECO;SC;mar/21;2.959.908;1.593.702;9.627;1;0;0;0;1.197.016;159.545;0;0;0;0;0;0;0;0;0;0;16;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;S4;8;ARACAJU;SE;mar/21;2.928.905;2.301.747;407.563;245;0;0;0;137.336;7.048;0;1.080;0;0;0;73.740;0;0;0;0;148;0
NUBANK;52058;n1;C;2;S4;197;SAO PAULO;SP;mar/21;2.893.534;2.811.050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82.484;0
AGIBANK;51956;b1;C;2;S4;199;PORTO ALEGRE;RS;mar/21;2.618.231;2.617.147;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.084;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.;3632872;b3S;I;2;S5;9;VILHENA;RO;mar/21;2.585.127;2.221.346;20.760;0;0;0;0;307.423;35.592;0;0;0;0;0;0;0;0;0;0;6;0
SOCIETE GENERALE;31859;b1;C;3;S3;199;SAO PAULO;SP;mar/21;2.577.896;1.670.840;0;0;0;0;19.252;887.804;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;S3;8;SAO PAULO;SP;mar/21;2.433.599;657.682;0;0;0;360.978;0;1.329.352;0;0;0;0;0;0;0;0;0;0;0;0;85.587
COOPERATIVA DE CRÉDITO SICREDI SERRANA RS/ES;90608712;b3S;I;2;S4;9;CARLOS BARBOSA;RS;mar/21;2.416.678;580.423;184.131;0;144;0;0;1.630.131;21.839;0;0;0;0;0;0;0;0;0;0;10;0
BANCO CATERPILLAR S.A.;2658435;b2;I;3;S4;8;SAO PAULO;SP;mar/21;2.389.167;2.128.663;0;33.646;0;0;1.564;108.832;0;0;0;0;0;0;116.462;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DE ESTADOS RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI UNIESTADOS;87780268;b3S;I;2;S4;9;ERECHIM;RS;mar/21;2.384.784;973.451;241.617;0;89;0;628;1.123.005;45.986;0;0;0;0;0;0;0;0;0;0;8;0
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;mar/21;2.310.996;1.858.591;0;5.914;14.533;0;0;429.656;0;0;0;0;0;0;0;0;0;0;0;2.301;0
BANCO IBM S.A.;34270520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;mar/21;2.245.871;206.151;0;0;0;0;0;2.036.354;0;2.931;0;0;0;0;435;0;0;0;0;0;0
SCOTIABANK;52230;b1;C;3;S4;199;SAO PAULO;SP;mar/21;2.210.417;519.236;0;0;0;0;1.446.096;245.085;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO CARGILL S.A.;3609817;b1;I;3;S4;8;SAO PAULO;SP;mar/21;2.209.971;107.289;0;0;0;0;0;0;0;0;0;0;0;0;2.102.682;0;0;0;0;0;0
PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;S4;14;SAO PAULO;SP;mar/21;2.201.915;2.160.083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.832;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PLANALTO – SICREDI PLANALTO RS/MG;88038260;b3S;I;2;S4;9;CRUZ ALTA;RS;mar/21;2.170.662;1.312.053;28.040;0;2;0;0;782.751;46.685;0;0;0;0;1.123;2;0;0;0;0;5;0
COOPERATIVA DE CRéDITO, POUPANçA E INVESTIMENTO UNIãO - SICREDI UNIAO RS/ES;88894548;b3S;I;2;S4;9;CERRO LARGO;RS;mar/21;2.159.233;1.279.296;122.881;3.992;6;0;0;693.521;59.526;0;0;0;0;0;0;0;0;0;0;10;0
BANCO MIZUHO DO BRASIL S.A.;61088183;b1;I;3;S4;8;SAO PAULO;SP;mar/21;2.101.349;1.426.981;NI;NI;NI;NI;NI;576.667;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;0;97.702
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;I;2;S4;9;NOVA PETROPOLIS;RS;mar/21;2.100.724;500.148;100.257;0;0;0;0;1.460.070;40.235;0;0;0;0;0;0;0;0;0;0;14;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;I;2;S5;9;GOIANIA;GO;mar/21;2.073.066;867.814;6;0;0;0;0;1.135.064;38.720;0;31.455;0;0;0;0;0;0;0;0;7;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;S4;30;SAO PAULO;SP;mar/21;2.066.428;112.130;0;215.077;385.173;0;0;0;719.277;0;0;232.831;0;401.940;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE GOIANO;24795049;b3S;I;2;S5;9;RIO VERDE;GO;mar/21;2.061.157;1.192.471;1.364;11.973;0;0;0;855.348;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO CERRADO - SICREDI VALE DO CERRADO;32983165;b3S;I;2;S4;9;CAMPO VERDE;MT;mar/21;2.042.813;1.330.708;107.996;0;25;0;209.901;362.484;31.692;0;0;0;0;0;0;0;0;0;0;8;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81466286;b3S;I;2;S4;9;PONTA GROSSA;PR;mar/21;2.037.833;1.243.162;101.302;0;2;0;0;666.481;26.871;0;0;0;0;0;0;0;0;0;0;16;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL – SICREDI CENTRO-SUL MS;26408161;b3S;I;2;S4;9;DOURADOS;MS;mar/21;2.026.626;1.496.179;0;0;0;0;0;504.735;25.695;0;0;0;0;0;0;0;0;0;0;17;0
BANCO DIGIO S.A.;27098060;b2;I;3;S4;8;BARUERI;SP;mar/21;2.017.279;2.014.040;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.239;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;I;2;S3;25;BRASILIA;DF;mar/21;1.981.410;260.951;1.392.019;0;0;0;0;0;0;0;0;328.437;0;0;0;0;0;0;0;2;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;S4;30;PORTO ALEGRE;RS;mar/21;1.951.131;941.867;24.530;227.584;139.020;0;0;0;524.950;0;30.552;1.161;0;53.554;7.912;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO ARAGUAIA E XINGU - SICREDI ARAXINGU;33021064;b3S;I;2;S4;9;CANARANA;MT;mar/21;1.923.917;515.227;182.527;0;0;0;11.968;1.194.450;19.742;0;0;0;0;0;0;0;0;0;0;3;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;I;3;S3;8;SAO PAULO;SP;mar/21;1.923.219;1.302.563;0;0;0;0;0;97.135;0;523.520;0;0;0;0;0;0;0;0;0;0;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.;42898825;b3S;I;2;S5;9;BELO HORIZONTE;MG;mar/21;1.921.815;499.642;0;0;0;0;0;1.387.803;34.369;0;0;0;0;0;0;0;0;0;0;2;0
BMW;51420;n1;C;3;S4;197;SAO PAULO;SP;mar/21;1.900.587;1.900.587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;I;2;S5;9;BRASILIA;DF;mar/21;1.872.679;71.687;1.800.985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0
COOPERATIVA DE CRÉDITO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;S5;9;LINHARES;ES;mar/21;1.821.445;743.420;46.816;0;0;0;0;981.617;49.580;0;0;0;0;0;0;0;0;0;0;13;0
BANCO DIGIMAIS S.A.;92874270;b1;I;3;S4;8;SAO PAULO;SP;mar/21;1.798.996;1.781.127;0;0;0;0;0;17.824;0;0;0;0;0;0;0;0;0;0;0;46;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32995755;b3S;I;2;S4;9;TANGARA DA SERRA;MT;mar/21;1.761.902;1.367.863;37.967;0;11;0;30.077;275.731;50.240;0;0;0;0;0;0;0;0;0;0;14;0
INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;55230916;b1;I;3;S4;8;SAO PAULO;SP;mar/21;1.758.430;1.328.549;0;0;0;0;110.603;319.279;0;0;0;0;0;0;0;0;0;0;0;0;0
CREFISA;52010;b1;C;2;S4;199;SAO PAULO;SP;mar/21;1.756.011;1.745.577;0;0;0;0;0;10.106;0;0;0;0;0;0;0;0;0;0;0;328;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NORTE MATO-GROSSENSE E OESTE PARAENSE – SICREDI GRANDES RIOS MT/PA;37442605;b3S;I;2;S4;9;COLIDER;MT;mar/21;1.730.893;1.509.392;9.525;0;0;0;0;170.995;37.514;0;0;0;0;3.457;0;0;0;0;0;10;0
BANCO RODOBENS S.A.;33603457;b1;I;2;S4;8;SAO PAULO;SP;mar/21;1.718.146;1.327.831;53.653;13.560;0;0;233;117.573;58.943;137;32.687;104.070;0;9.430;29;0;0;0;0;0;0
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2398976;b3S;I;2;S4;9;LONDRINA;PR;mar/21;1.665.714;571.221;0;0;0;0;0;1.094.490;0;0;0;0;0;2;0;0;0;0;0;1;0
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;I;2;S4;9;CAMPO MOURAO;PR;mar/21;1.615.114;1.606.822;0;0;0;0;0;0;2.656;0;0;0;0;5.636;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO SICOOB METROPOLITANO;3459850;b3S;I;2;S5;9;MARINGA;PR;mar/21;1.534.748;893.433;0;0;0;0;0;594.682;46.606;0;0;0;0;0;0;0;0;0;0;27;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DOS ESTADOS DE MATO GROSSO DO SUL, TOCANTINS E OESTE DA BAHIA - SICREDI UNIÃO MS/TO;24654881;b3S;I;2;S4;9;CAMPO GRANDE;MS;mar/21;1.532.922;1.325.086;14.323;0;0;0;84.362;77.242;31.889;0;0;0;0;0;0;0;0;0;0;19;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC/MG;87733770;b3S;I;2;S4;9;RODEIO BONITO;RS;mar/21;1.506.314;669.572;76.771;0;19;0;0;744.674;15.272;0;0;0;0;0;0;0;0;0;0;7;0
